level,metric,period1,period2,tau_mean,tau_median,tau_min,tau_max,tau_sd,R,tau_obs,p_mc_greater
node,degree,-2000,2001-2005,0.358811729364748,0.35898911154739066,0.0,0.8252579334125862,0.1008484984693805,5000,0.5385057961806337,0.9606078784243152
node,degree,2001-2005,2006-2010,0.7337829801471993,0.7379796416408096,0.430879499230519,0.919550673233326,0.06399710903340353,5000,0.7509674938740044,0.5814837032593482
node,degree,2006-2010,2011-2015,0.6849441243137673,0.6870683333178931,0.4554442372703673,0.8925623452631705,0.061313710043361294,5000,0.5795740815468743,0.04939012197560488
node,degree,2011-2015,2016-2020,0.7257684082707858,0.7269539878593471,0.5168797398623393,0.9090923533750138,0.05550075544743911,5000,0.7109801721558935,0.3887222555488902
node,degree,2016-2020,2021-2025,0.6851007665648043,0.6857336690418012,0.508991161313135,0.8356195395780056,0.0471377180600138,5000,0.7446808510638298,0.8952209558088382
node,strength,-2000,2001-2005,0.3854576667590451,0.3854576667590452,0.3854576667590452,0.3854576667590452,1.1103340635837404e-16,5000,0.3854576667590452,1.0
node,strength,2001-2005,2006-2010,0.7977484519151864,0.7977484519151863,0.7977484519151863,0.7977484519151863,1.1103340635837404e-16,5000,0.7977484519151863,1.0
node,strength,2006-2010,2011-2015,0.7882551121982398,0.78825511219824,0.78825511219824,0.78825511219824,1.1103340635837404e-16,5000,0.78825511219824,1.0
node,strength,2011-2015,2016-2020,0.8287865639961638,0.8287865639961639,0.8287865639961639,0.8287865639961639,1.1103340635837404e-16,5000,0.8287865639961639,1.0
node,strength,2016-2020,2021-2025,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.0,5000,0.7743821886422612,1.0
node,betweenness,-2000,2001-2005,0.36476081902911844,0.3636964837266539,-0.19875724220194654,0.8714740619623809,0.1469721389463258,5000,0.6361942179900353,0.9684063187362527
node,betweenness,2001-2005,2006-2010,0.6797430080370163,0.6842052032875,0.17327955281803506,0.9999999999999998,0.11798229782625104,5000,0.7581753965757455,0.737252549490102
node,betweenness,2006-2010,2011-2015,0.6961624063771172,0.7011472005724296,0.18209309360006523,1.0,0.12088700310326414,5000,0.5574175147179049,0.1245750849830034
node,betweenness,2011-2015,2016-2020,0.69374810698494,0.6994823573056137,0.26023787026314593,1.0,0.11999818935639477,5000,0.543961138140183,0.11057788442311538
node,betweenness,2016-2020,2021-2025,0.6235664855973697,0.6226341987557229,0.2333333333333333,1.0,0.12253114190621095,5000,0.7281113804357788,0.8026394721055788
node,node_count,-2000,2001-2005,0.3854576667590451,0.3854576667590452,0.3854576667590452,0.3854576667590452,1.1103340635837404e-16,5000,0.3854576667590452,1.0
node,node_count,2001-2005,2006-2010,0.7977484519151864,0.7977484519151863,0.7977484519151863,0.7977484519151863,1.1103340635837404e-16,5000,0.7977484519151863,1.0
node,node_count,2006-2010,2011-2015,0.7882551121982398,0.78825511219824,0.78825511219824,0.78825511219824,1.1103340635837404e-16,5000,0.78825511219824,1.0
node,node_count,2011-2015,2016-2020,0.8287865639961638,0.8287865639961639,0.8287865639961639,0.8287865639961639,1.1103340635837404e-16,5000,0.8287865639961639,1.0
node,node_count,2016-2020,2021-2025,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.0,5000,0.7743821886422612,1.0
edge,pair_count,-2000,2001-2005,0.25936489689435327,0.27122540144832413,-1.0,1.0,0.2736824957801316,5000,0.21216451100145925,0.41023574450936934
edge,pair_count,2001-2005,2006-2010,0.5379534636189681,0.5536647783995775,-0.18860838403857946,0.8968709856938624,0.13605828701070946,5000,0.38084853540862806,0.122
edge,pair_count,2006-2010,2011-2015,0.6103217212161951,0.6175268978222883,0.21149017629256966,0.8459620633261491,0.08020902761622109,5000,0.6722049569381584,0.7744451109778044
edge,pair_count,2011-2015,2016-2020,0.5895615043561097,0.5929375303338495,0.30055081021147234,0.8147216877998453,0.06702963444806445,5000,0.5616435245402309,0.3189362127574485
edge,pair_count,2016-2020,2021-2025,0.5500189843229906,0.5543983368264924,0.2822230485677739,0.7565169335601861,0.06707955045807275,5000,0.5984343856943808,0.7654469106178764
edge,edge_betweenness,-2000,2001-2005,-0.007233854269590899,0.0,-1.0,1.0,0.2607237604440547,5000,0.3197048113342539,0.894157663065226
edge,edge_betweenness,2001-2005,2006-2010,0.17172611509993405,0.18095238095238098,-0.5636363636363636,0.7306322805705786,0.1928356939068285,5000,0.32104197006965834,0.7736452709458108
edge,edge_betweenness,2006-2010,2011-2015,0.35059219640885275,0.3560790835181079,-0.20227920227920232,0.7277310924369749,0.13148429344153895,5000,0.27333333333333326,0.2735452909418116
edge,edge_betweenness,2011-2015,2016-2020,0.41721919200430385,0.42247739920928706,-0.03215686274509804,0.7687074829931972,0.10405684453961399,5000,0.39393939393939387,0.39012197560487905
edge,edge_betweenness,2016-2020,2021-2025,0.4081396848357016,0.4124293785310734,-0.02626262626262627,0.6947996589940324,0.0978373456537529,5000,0.3512107620838369,0.2689462107578484
edge,edge_betweenness_weighted,-2000,2001-2005,-0.015155271274942886,-0.007263331982293954,-1.0,1.0,0.25566332011139636,5000,0.4784644854239285,0.972583550130078
edge,edge_betweenness_weighted,2001-2005,2006-2010,0.221750206211756,0.23091654957016028,-0.437732769305958,0.7961621941231025,0.17318820582198663,5000,0.16393587447442384,0.35792841431713657
edge,edge_betweenness_weighted,2006-2010,2011-2015,0.41709653338391917,0.420137650955625,-0.039267672624930104,0.7692195855583028,0.11586996991938661,5000,0.6234938878505727,0.971005798840232
edge,edge_betweenness_weighted,2011-2015,2016-2020,0.48458426071353905,0.4900610895938673,-0.03727491342865682,0.8040428803285348,0.09984394850238928,5000,0.42982495828731,0.27994401119776047
edge,edge_betweenness_weighted,2016-2020,2021-2025,0.43570011694872685,0.43917652776948846,0.034516025987833966,0.7265221090759405,0.09574729781944324,5000,0.4224005036579219,0.4325134973005399
triangle,triangle_count,-2000,2001-2005,0.17071939804930694,0.17677669529663687,-1.0,1.0,0.565641048641735,5000,0.3273268353539886,0.5517774343122102
triangle,triangle_count,2001-2005,2006-2010,0.3692420000962869,0.40032038451271784,-0.5833333333333334,1.0,0.27329297538318065,5000,0.34045882057130067,0.4164993978321959
triangle,triangle_count,2006-2010,2011-2015,0.5769565157662387,0.5832186577475433,0.03333590564751961,0.8912104574627583,0.11146027002029746,5000,0.5891270032880942,0.5202959408118376
triangle,triangle_count,2011-2015,2016-2020,0.5206051135780364,0.5227246220042654,0.15945739404808157,0.8457106919631371,0.09330287810774969,5000,0.5478624488739688,0.6068786242751449
triangle,triangle_count,2016-2020,2021-2025,0.46429005137108087,0.46563737878804157,0.13539432501354912,0.7662245433208216,0.08840810207949713,5000,0.5607239944119511,0.8654269146170765
