citingPaper,citedPaper
https://openalex.org/W2914094440,https://openalex.org/W3122728969
https://openalex.org/W2938378096,https://openalex.org/W3122728969
https://openalex.org/W2947666646,https://openalex.org/W3122728969
https://openalex.org/W2955018254,https://openalex.org/W3122728969
https://openalex.org/W2972798438,https://openalex.org/W3122728969
https://openalex.org/W3039577330,https://openalex.org/W3122728969
https://openalex.org/W3039606322,https://openalex.org/W3122728969
https://openalex.org/W3084113281,https://openalex.org/W3122728969
https://openalex.org/W3121217472,https://openalex.org/W3122728969
https://openalex.org/W3121545129,https://openalex.org/W3122728969
https://openalex.org/W3125052842,https://openalex.org/W3122728969
https://openalex.org/W3125112178,https://openalex.org/W3122728969
https://openalex.org/W3125359030,https://openalex.org/W3122728969
https://openalex.org/W3190097825,https://openalex.org/W3122728969
https://openalex.org/W3216038618,https://openalex.org/W3122728969
https://openalex.org/W325124896,https://openalex.org/W3122728969
https://openalex.org/W4205552064,https://openalex.org/W3122728969
https://openalex.org/W4283657131,https://openalex.org/W3122728969
https://openalex.org/W4285024880,https://openalex.org/W3122728969
https://openalex.org/W4300951185,https://openalex.org/W3122728969
https://openalex.org/W4320148496,https://openalex.org/W3122728969
https://openalex.org/W4381736130,https://openalex.org/W3122728969
https://openalex.org/W439017983,https://openalex.org/W3122728969
https://openalex.org/W4402018025,https://openalex.org/W3122728969
https://openalex.org/W3207067564,https://openalex.org/W3166017557
https://openalex.org/W1580804840,https://openalex.org/W2049884882
https://openalex.org/W1993865286,https://openalex.org/W2049884882
https://openalex.org/W2034417760,https://openalex.org/W2049884882
https://openalex.org/W2716435981,https://openalex.org/W2049884882
https://openalex.org/W2756659966,https://openalex.org/W2049884882
https://openalex.org/W2889122466,https://openalex.org/W2049884882
https://openalex.org/W2897475839,https://openalex.org/W2049884882
https://openalex.org/W3105823174,https://openalex.org/W2049884882
https://openalex.org/W3119775080,https://openalex.org/W2049884882
https://openalex.org/W4402986304,https://openalex.org/W2049884882
https://openalex.org/W4403660177,https://openalex.org/W2049884882
https://openalex.org/W4406103194,https://openalex.org/W2049884882
https://openalex.org/W4381666160,https://openalex.org/W4289222991
https://openalex.org/W4387158607,https://openalex.org/W4289222991
https://openalex.org/W4402546895,https://openalex.org/W4289222991
https://openalex.org/W4407152405,https://openalex.org/W4289222991
https://openalex.org/W2028289362,https://openalex.org/W1994031345
https://openalex.org/W2038719374,https://openalex.org/W1994031345
https://openalex.org/W2094244093,https://openalex.org/W1994031345
https://openalex.org/W2151222191,https://openalex.org/W1994031345
https://openalex.org/W3207400243,https://openalex.org/W1994031345
https://openalex.org/W4238048379,https://openalex.org/W1994031345
https://openalex.org/W2598656573,https://openalex.org/W2460486083
https://openalex.org/W2773358030,https://openalex.org/W2460486083
https://openalex.org/W2889122466,https://openalex.org/W2460486083
https://openalex.org/W2895165109,https://openalex.org/W2460486083
https://openalex.org/W2897475839,https://openalex.org/W2460486083
https://openalex.org/W2902789768,https://openalex.org/W2460486083
https://openalex.org/W3084113281,https://openalex.org/W2460486083
https://openalex.org/W3125052842,https://openalex.org/W2460486083
https://openalex.org/W3204735205,https://openalex.org/W2460486083
https://openalex.org/W3211027916,https://openalex.org/W2460486083
https://openalex.org/W4281690951,https://openalex.org/W2460486083
https://openalex.org/W4293801681,https://openalex.org/W2460486083
https://openalex.org/W4312204683,https://openalex.org/W2460486083
https://openalex.org/W4381736130,https://openalex.org/W2460486083
https://openalex.org/W4384133380,https://openalex.org/W2460486083
https://openalex.org/W4385782198,https://openalex.org/W2460486083
https://openalex.org/W4386370708,https://openalex.org/W2460486083
https://openalex.org/W4386491507,https://openalex.org/W2460486083
https://openalex.org/W4388938469,https://openalex.org/W2460486083
https://openalex.org/W4390066466,https://openalex.org/W2460486083
https://openalex.org/W4392135119,https://openalex.org/W2460486083
https://openalex.org/W2546674699,https://openalex.org/W2164455384
https://openalex.org/W1546068527,https://openalex.org/W2164455384
https://openalex.org/W1546068527,https://openalex.org/W2148814768
https://openalex.org/W1556385061,https://openalex.org/W2148814768
https://openalex.org/W1577807578,https://openalex.org/W2148814768
https://openalex.org/W1580804840,https://openalex.org/W2148814768
https://openalex.org/W1842793959,https://openalex.org/W2148814768
https://openalex.org/W2028148226,https://openalex.org/W2148814768
https://openalex.org/W2068645718,https://openalex.org/W2148814768
https://openalex.org/W2116568238,https://openalex.org/W2148814768
https://openalex.org/W2118931737,https://openalex.org/W2148814768
https://openalex.org/W2133321662,https://openalex.org/W2148814768
https://openalex.org/W2170708007,https://openalex.org/W2148814768
https://openalex.org/W2184544484,https://openalex.org/W2148814768
https://openalex.org/W2186374397,https://openalex.org/W2148814768
https://openalex.org/W2210747677,https://openalex.org/W2148814768
https://openalex.org/W2262410031,https://openalex.org/W2148814768
https://openalex.org/W2310208630,https://openalex.org/W2148814768
https://openalex.org/W2766173862,https://openalex.org/W2148814768
https://openalex.org/W2773358030,https://openalex.org/W2148814768
https://openalex.org/W2807800750,https://openalex.org/W2148814768
https://openalex.org/W2895165109,https://openalex.org/W2148814768
https://openalex.org/W2902789768,https://openalex.org/W2148814768
https://openalex.org/W2972798438,https://openalex.org/W2148814768
https://openalex.org/W3093752946,https://openalex.org/W2148814768
https://openalex.org/W3119775080,https://openalex.org/W2148814768
