citing_cluster,cited_cluster,citations
4,0,220
5,5,202
2,2,175
0,3,174
5,0,173
4,3,157
2,5,149
0,0,144
4,5,126
5,4,125
5,2,102
5,3,89
4,1,83
0,1,78
3,3,70
5,1,60
2,4,55
4,4,55
2,0,53
2,1,52
4,6,49
3,1,34
6,0,33
5,6,29
1,1,23
6,6,17
4,2,14
6,1,13
2,3,13
2,6,10
0,6,6
6,3,6
0,4,5
6,4,2
