from_year,to_year,weights
2011,2006,7
2011,2002,7
2005,2002,7
2018,2002,7
2024,2002,7
2018,2015,7
2020,2015,7
2020,1999,7
2019,1999,7
2020,2009,6
2020,2020,6
2024,2024,6
2022,2012,6
2016,2006,6
2015,2006,6
2022,2022,6
2008,2002,6
2019,2008,6
2017,2015,6
2019,2015,6
2021,2015,6
2023,2007,6
2012,2007,6
2016,2010,6
2022,2010,6
2011,2010,6
2006,1979,6
2012,1979,6
2011,1979,6
2017,2009,5
2014,2012,5
2016,2012,5
2023,2021,5
2008,2006,5
2013,2006,5
2017,2006,5
2021,2006,5
2009,2005,5
2006,2005,5
2008,2005,5
2013,2013,5
2014,2014,5
2025,2014,5
2022,2007,5
2019,2003,5
2024,2011,5
2023,2011,5
2011,2011,5
2012,2011,5
2011,2000,5
2019,2000,5
2019,2010,5
2023,2010,5
2015,1979,5
2014,1999,5
2013,1999,5
2011,1998,4
2010,2009,4
2012,2009,4
2021,2020,4
2023,2012,4
2017,2012,4
2020,2012,4
2024,2012,4
2012,2006,4
2022,2006,4
2024,2006,4
2009,2002,4
2010,2002,4
2011,2008,4
2016,2015,4
2023,2015,4
2024,2015,4
2017,2007,4
2007,2007,4
2013,2010,4
2024,2010,4
2014,2010,4
2015,2010,4
2007,1979,4
2015,1999,4
2008,1999,4
2018,1999,4
2022,1999,4
2023,1999,4
2016,1998,3
2019,1980,3
2016,2016,3
2013,2012,3
2018,2012,3
2025,2022,3
2025,2018,3
2013,2008,3
2015,2008,3
2021,2008,3
2021,2007,3
2013,2007,3
2009,2007,3
2024,2007,3
2020,2007,3
2023,2023,3
2014,2003,3
2015,2000,3
2022,2000,3
2023,2000,3
2020,2010,3
1998,1992,3
2005,1992,3
2005,1979,3
1998,1979,3
2010,1979,3
2002,1979,3
2017,1979,3
2016,1999,3
2006,1999,3
2011,1999,3
2015,1998,2
2006,1998,2
2013,1998,2
2005,1998,2
2013,1980,2
1998,1980,2
2008,1980,2
2011,1980,2
2015,2016,2
2025,2024,2
2011,2012,2
2025,2019,2
2007,2006,2
2023,2006,2
2009,2006,2
2018,2006,2
2021,2022,2
2003,2002,2
2017,2018,2
2018,2018,2
2013,2014,2
2024,2008,2
2023,2008,2
2012,2008,2
2022,2008,2
2018,2007,2
2010,2007,2
2008,2007,2
2020,2003,2
2008,2003,2
2011,2003,2
2021,1986,2
2003,2000,2
2007,2000,2
2008,2000,2
2006,1992,2
2008,1992,2
2002,1992,2
2015,1992,2
2007,1992,2
1992,1979,2
2009,1979,2
2005,1990,2
2014,1990,2
2007,1990,2
1998,1990,2
2010,1999,2
2005,1999,2
2002,1999,2
2007,1999,2
2021,1999,2
2024,1999,2
2016,2017,1
2017,2017,1
2025,2017,1
2018,1998,1
2009,1998,1
2012,1998,1
2006,1980,1
2020,1980,1
2016,1980,1
1992,1980,1
1990,1980,1
2014,1980,1
2009,1980,1
2000,1980,1
2005,1980,1
2015,1980,1
2018,1980,1
1999,1980,1
2023,1980,1
2022,1980,1
2012,1980,1
2007,2009,1
2025,2020,1
2019,2020,1
2014,2016,1
2013,2016,1
2012,2016,1
2017,2024,1
2022,2024,1
2023,2024,1
2020,2021,1
2019,2019,1
2015,2019,1
2006,2006,1
2025,2006,1
2005,2005,1
2002,2002,1
2025,2013,1
