category,ids
Income Elasticity Measures,"['918', '919', '921', '926', '931', '936', '938', '948', '956', '968', '970', '971', '972', '978', '980', '988', '992', '1001', '1004', '1005']"
Rank‐Based Measures,"['934', '990', '991']"
Transition Matrix / Probability Measures,['5']
Wealth Mobility Measures,"['951', '952', '983']"
Educational Mobility Measures,"['942', '943', '944', '946']"
Others,"['0', '6', '7', '1002', '1003', '966', '967', '997', '1007', '1008', '1009', '1010', '1011', '1012']"
