category,ids
Income Elasticity Measures,"['930', '931', '933', '956', '971', '978', '980', '982', '984', '986', '990', '991', '1001', '1004', '1005']"
Rank‐Based Measures,"['926', '934', '936', '989', '997']"
Transition Matrix Measures,['975']
Structural/Decomposition Model Estimates,"['935', '938', '942', '974', '983', '995', '972']"
Others,"['0', '5', '7', '8', '9', '923', '924', '925', '937', '939', '940', '941', '948', '949', '952', '1002', '1003']"
