paper,citations_count
https://openalex.org/W2008396968,1
https://openalex.org/W2802089178,1
https://openalex.org/W3045264130,1
https://openalex.org/W2912008487,1
https://openalex.org/W3018625260,1
https://openalex.org/W3143516863,1
https://openalex.org/W3088079582,1
https://openalex.org/W3027769937,1
https://openalex.org/W2119977186,1
https://openalex.org/W1020822704,1
https://openalex.org/W1524458346,1
https://openalex.org/W1578919155,1
https://openalex.org/W1885260769,1
https://openalex.org/W1912659445,1
https://openalex.org/W1969197029,1
https://openalex.org/W2039841106,1
https://openalex.org/W2055372720,1
https://openalex.org/W2078842385,1
https://openalex.org/W2097343718,1
https://openalex.org/W2153943844,1
https://openalex.org/W2291516288,1
https://openalex.org/W2364400020,1
https://openalex.org/W2553521091,1
https://openalex.org/W2565185528,1
https://openalex.org/W2592479289,1
https://openalex.org/W2598656573,1
https://openalex.org/W2663861583,1
https://openalex.org/W2741490491,1
https://openalex.org/W2773358030,1
https://openalex.org/W2794220255,1
https://openalex.org/W2890853717,1
https://openalex.org/W2895165109,1
https://openalex.org/W2913916335,1
https://openalex.org/W2918831213,1
https://openalex.org/W2924600205,1
https://openalex.org/W2944091914,1
https://openalex.org/W2953817338,1
https://openalex.org/W2963918180,1
https://openalex.org/W2971359031,1
https://openalex.org/W2972798438,1
https://openalex.org/W2997562221,1
https://openalex.org/W3025676006,1
https://openalex.org/W3033668572,1
https://openalex.org/W3037216812,1
https://openalex.org/W3109347625,1
https://openalex.org/W3119775080,1
https://openalex.org/W3121217472,1
https://openalex.org/W3121421182,1
https://openalex.org/W3123638740,1
https://openalex.org/W3124358677,1
https://openalex.org/W3124527946,1
https://openalex.org/W3126032812,1
https://openalex.org/W3136260651,1
https://openalex.org/W3142916655,1
https://openalex.org/W3170592684,1
https://openalex.org/W3182550406,1
https://openalex.org/W3184422859,1
https://openalex.org/W3192903419,1
https://openalex.org/W3197901707,1
https://openalex.org/W3204672706,1
https://openalex.org/W4206194690,1
https://openalex.org/W4210953259,1
https://openalex.org/W4220692802,1
https://openalex.org/W4220732045,1
https://openalex.org/W4230356224,1
https://openalex.org/W4230711751,1
https://openalex.org/W4238048379,1
https://openalex.org/W4241858005,1
https://openalex.org/W4285024880,1
https://openalex.org/W4285249755,1
https://openalex.org/W4307723330,1
https://openalex.org/W4308908946,1
https://openalex.org/W4312204683,1
https://openalex.org/W4367052625,1
https://openalex.org/W4384133380,1
https://openalex.org/W4390066466,1
https://openalex.org/W4402546895,1
