category,ids
Intergenerational Income Elasticity (IGE) Measures,"['30', '31', '61', '62', '64', '65', '85', '106', '914', '917', '968']"
Rank‐Based Measures,"['917', '936', '962']"
Transition Matrix / Probability Measures,['42']
Absolute Mobility Measures,"['37', '99']"
Wealth Mobility Measures,"['67', '969', '942']"
Multigenerational Mobility Measures,"['54', '68', '78', '1004']"
Subjective Mobility Measures,"['76', '79']"
Others,"['5', '38', '39', '40', '41', '43', '44', '45', '49', '51', '52', '53', '55', '56', '57', '59', '60', '66', '70', '71', '72', '73', '77', '80', '81', '82', '83', '84', '86', '90', '91', '92', '95', '96', '97', '98', '1005', '104', '105', '111', '112', '113', '116', '117']"
