category,ids
Income Elasticity Measures,"['867', '870', '871', '914', '917', '946', '956', '978', '980', '991', '998', '1001', '1004', '1005']"
Rank‐Based Measures,"['888', '893', '901', '975', '992']"
Transition/Absolute Mobility Measures,"['851', '866', '875', '877', '942']"
Wealth Mobility Measures,"['898', '969', '988', '989', '999']"
Structural/Multigenerational Models,"['937', '938', '1003']"
Others,"['863', '864', '872', '873', '874', '876', '878', '879', '880', '881', '882', '883', '884', '885', '886', '887', '889', '890', '891', '895', '896', '924', '925', '928', '930', '931', '932', '933', '934', '935', '936', '939', '940', '941', '943', '944', '945', '947', '948', '949', '950', '951', '952', '953', '954', '957', '958', '959', '960', '961', '962', '963', '964', '965', '966', '967', '968', '970', '971', '972', '973', '974', '977', '979', '981', '982', '983', '984', '985', '986', '987', '990', '993', '994', '995', '996', '997', '1000']"
