category,ids
IGE,"['1001', '1004', '1005', '871', '872', '877', '889', '917', '918']"
RankBased,"['907', '990', '991', '999']"
TransitionMatrix,"['840', '919', '969']"
AbsoluteMobility,['866']
StructuralModels,"['1003', '874', '972', '739']"
NonparametricML,"['767', '788']"
Others,"['5', '6', '7', '8', '9', '11', '14', '16', '18', '19', '21', '22', '26', '27', '28', '29', '30', '31', '33', '35', '37', '38', '39', '40', '41', '42', '43', '44', '45', '49', '51', '52', '53', '54', '55', '56', '57', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '807', '808', '809', '810', '811', '812', '813', '814', '815', '817', '818', '819', '820', '821', '822', '824', '825', '826', '827', '829', '830', '832', '833', '834', '835', '836', '837', '838', '839', '841', '842', '843', '844', '845', '846', '847', '848', '849', '850', '851', '852', '853', '854', '856', '857', '858', '859', '860', '861', '862', '863', '864', '865', '867', '868', '869', '870', '871', '872', '873', '874', '875', '876', '877', '878', '879', '880', '881', '882', '883', '884', '885', '886', '887', '888', '889', '890', '891', '892', '893', '894', '895', '896', '897', '898', '899', '900', '901', '902', '903', '904', '905', '906', '908', '909', '910', '911', '912', '913', '914', '915', '916', '917', '918', '919', '920', '921', '922', '923', '924', '925', '926', '927', '928', '929', '930', '931', '932', '933', '934', '935', '936', '937', '938', '939', '940', '941', '942', '943', '944', '945', '946', '947', '948', '949', '950', '951', '952', '953', '954', '955', '956', '957', '958', '959', '960', '961', '962', '963', '964', '965', '966', '967', '968', '969', '970', '971', '972', '973', '974', '975', '976', '977', '978', '979', '980', '981', '982', '983', '984', '985', '986', '987', '988', '989', '990', '991', '992', '993', '994', '995', '996', '997', '998', '999', '1000', '1001', '1002', '1003', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016']"
