citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2019,2017,7,3,1
2021,1979,1,0,4
2021,2005,1,2,2
2021,2014,1,7,3
2021,2005,1,0,1
2022,2017,7,4,2
2022,2007,7,2,2
2022,2014,7,7,3
2022,2016,7,2,2
2022,1999,7,2,1
2022,2016,7,4,1
2021,2018,0,1,1
2021,2011,0,0,1
2021,1996,0,0,1
2021,2014,0,7,2
2021,2015,1,6,1
2021,2013,1,0,3
2021,2013,1,2,4
2024,2022,0,0,2
2022,2011,0,6,1
2022,2002,0,2,1
2022,2014,0,7,4
2021,2018,4,1,1
2021,2005,4,2,1
2021,2018,4,6,1
2021,2017,4,3,1
2021,2019,4,2,3
2021,2019,4,3,1
2021,2019,4,0,1
2021,2016,4,4,1
2021,2011,4,5,1
2021,2022,4,4,1
2021,1986,6,4,1
2021,2014,6,2,2
2021,2011,6,5,2
2021,2017,6,3,1
2021,2013,3,2,2
2021,2016,3,2,2
2021,2000,1,5,1
2021,2018,1,6,1
2021,1999,1,2,1
2021,2015,1,2,1
2021,2014,7,7,6
2021,2013,7,2,2
2021,2018,7,7,2
2021,2019,7,1,1
2021,2016,7,2,4
2021,2016,7,4,2
2023,1980,4,2,1
2023,1979,4,0,2
2023,2011,4,2,2
2023,2013,4,2,3
2023,2014,4,7,5
2023,2013,4,5,1
2023,2019,4,2,3
2021,2006,5,2,1
2021,2008,5,2,1
2021,2000,5,5,1
2021,2013,5,2,2
2021,2016,5,1,2
2020,2016,7,2,1
2020,2006,7,2,1
2020,2005,7,2,1
2020,2010,7,2,1
2020,2019,7,3,1
2020,2020,7,0,1
2020,2020,7,2,1
2020,1999,7,2,1
2021,2006,2,5,2
2021,2014,2,3,1
2021,1979,2,0,2
2018,2017,4,4,1
2018,2016,4,2,1
2018,2016,4,4,1
2021,2014,3,7,1
2021,2002,3,2,1
2021,2012,3,2,1
2021,2011,3,2,1
2021,2018,3,7,1
2021,2017,6,4,1
2021,1995,6,0,1
2021,2018,6,6,1
2021,2019,6,5,1
2020,2011,5,6,1
2020,2002,5,2,1
2021,2014,1,2,1
2021,2008,1,2,1
2021,2012,1,2,1
2021,2010,1,2,1
2021,2011,1,2,1
2024,2017,1,4,3
2024,2024,1,4,1
2024,2016,1,1,1
2024,2016,1,2,3
2024,1979,1,0,5
2024,2014,1,7,11
2024,2018,1,6,3
2024,2016,1,3,1
2024,2018,1,2,4
2024,2020,1,2,2
2024,2009,1,2,2
2024,2019,1,5,4
2024,2019,1,2,3
2024,2015,1,2,1
2024,2018,1,4,1
2024,2021,1,3,2
2024,2016,1,4,1
2024,2022,1,4,2
2024,2023,1,4,2
2024,2024,1,1,1
2022,2021,7,4,1
2022,2014,7,2,1
2022,1979,7,0,1
2022,2013,7,2,2
2022,2018,7,7,1
2022,2018,7,2,1
2022,2017,7,3,1
2021,2014,6,3,1
2021,1979,6,0,1
2021,2020,6,2,1
2021,2022,6,4,1
2007,2005,2,5,1
2021,2014,0,0,1
2021,2018,0,0,1
2021,2021,0,0,1
2022,2015,0,6,1
2022,2013,0,2,1
2021,2016,4,1,1
2021,2009,4,6,1
2021,2019,4,5,1
2021,2006,5,5,1
2021,2011,5,2,1
2021,2011,4,6,1
2021,2015,4,6,1
2021,2011,4,2,1
2021,2018,4,7,1
2021,2017,4,2,1
2021,2020,4,3,1
2021,2011,2,3,1
2021,2011,2,5,1
2021,2015,2,3,1
2021,2020,2,6,1
2016,2006,4,5,1
2016,2011,4,5,1
2016,2015,4,2,1
2008,1980,1,2,1
2021,2018,1,1,1
2021,2011,7,0,1
2021,2014,7,2,1
2021,2013,7,4,1
2021,2012,7,3,1
2022,2002,2,2,2
2022,1980,2,2,1
2022,2006,2,5,2
2022,2007,2,3,1
2022,1990,2,2,1
2022,2009,2,2,4
2022,2000,2,5,1
2022,2019,2,1,1
2022,1999,2,2,2
2022,2016,2,4,1
2022,2015,4,6,1
2022,2019,4,2,2
2022,2005,3,2,3
2022,2014,3,2,3
2022,2008,3,2,2
2022,1979,3,0,3
2022,2000,3,5,1
2022,2002,3,2,2
2022,2014,3,7,5
2022,2012,3,2,2
2022,2015,3,0,2
2022,2018,3,6,3
2022,2019,3,2,2
2022,2019,3,3,1
2022,2009,3,2,2
2022,1999,3,2,1
2021,1979,7,0,1
2021,2002,7,2,2
2021,2009,7,2,1
2021,2019,7,7,1
2022,2020,5,7,1
2022,2020,5,4,3
2022,2010,5,2,1
2022,2012,5,2,1
2022,2019,5,3,1
2022,2020,5,6,1
2022,2022,5,5,1
2022,2015,0,3,1
2022,1979,0,0,1
2022,2018,5,2,2
2022,2019,5,5,3
2015,2014,0,7,1
2015,2013,0,2,1
2018,2016,2,4,1
2018,1996,2,0,1
2018,2014,2,6,1
2018,2014,2,1,1
2018,2010,2,2,1
2018,2005,2,0,1
2013,2005,1,2,1
2013,2011,1,6,1
2013,2006,1,0,1
2013,2011,1,2,1
2013,2009,1,2,1
2021,1986,2,4,1
2021,2007,2,2,1
2022,2016,6,1,1
2022,2015,6,6,1
2022,2017,6,2,1
2022,2016,6,7,1
2022,2019,6,2,1
2022,2020,6,3,1
2022,2019,6,7,1
2022,2021,6,4,1
2022,2011,5,5,2
2022,2014,5,5,1
2022,2019,1,3,1
2022,2020,4,4,2
2022,2006,4,5,1
2022,1979,4,0,1
2022,2005,4,2,2
2022,2009,4,2,1
2022,2015,4,2,1
2022,2018,0,1,1
2022,1996,0,0,1
2022,2006,5,5,2
2022,2002,5,4,2
2022,2016,5,3,1
2022,2014,5,3,1
2022,2005,5,2,1
2022,2014,5,7,4
2022,2017,5,3,1
2022,2018,5,6,1
2022,2019,5,2,1
2022,2009,5,2,1
2022,2020,5,3,1
2022,2021,5,4,1
2022,2020,7,0,1
2022,2020,7,6,1
2022,2014,4,2,1
2022,2002,4,2,2
2022,2020,4,0,1
2022,2020,4,3,1
2022,2020,4,7,1
2022,2016,4,4,1
2022,1979,1,0,1
2022,2011,1,2,1
2022,2011,1,5,1
2022,2013,3,2,2
2022,2011,3,2,2
2022,2018,0,6,1
2022,2016,3,1,1
2022,2016,3,2,2
2022,2020,3,2,1
2022,2022,3,7,1
2022,2021,3,3,1
2022,2021,3,1,1
2022,2024,3,1,1
2022,2016,3,4,1
2022,2021,2,2,3
2022,2013,2,0,1
2022,2021,2,1,1
2022,2022,2,4,1
2022,2017,3,4,2
2022,2012,3,4,1
2022,2013,3,0,1
2022,2015,3,2,1
2022,2017,3,2,1
2022,2019,3,5,2
2022,2022,3,3,2
2022,2015,2,2,1
2022,2012,2,2,2
2022,2018,3,1,1
2022,2020,3,4,2
2022,2011,2,6,1
2022,2014,2,5,1
2022,2016,2,2,1
2022,2007,2,2,2
2022,2005,2,2,1
2022,2020,2,3,1
2022,2013,5,2,1
2022,1979,6,0,1
2022,2020,6,2,1
2022,2022,6,4,1
2022,2021,4,4,2
2022,2016,4,1,2
2022,2016,4,2,1
2022,2000,4,5,1
2022,2022,4,4,1
2022,2014,5,2,1
2022,1999,5,2,1
2023,2014,7,7,6
2023,2018,7,7,3
2023,2014,3,7,1
2023,1979,2,0,6
2023,2000,2,5,2
2023,2005,2,2,6
2023,2000,2,0,1
2023,2017,2,2,4
2023,2009,2,2,7
2023,2010,5,2,1
2023,2014,5,2,1
2023,2014,5,7,3
2023,2016,5,2,3
2023,2012,5,2,1
2023,2018,5,7,1
2023,2017,5,3,1
2023,2019,5,1,2
2023,2014,2,2,5
2023,2013,2,0,2
2023,2002,2,2,8
2023,2013,2,2,7
2023,2012,2,2,3
2023,2021,2,2,1
2023,1979,7,0,2
2023,2019,7,5,1
2023,2021,0,2,1
2023,1979,0,0,1
2023,2014,0,7,1
2023,2018,0,6,1
2023,2019,0,0,1
2023,2002,6,2,2
2023,2020,7,6,1
2023,2014,7,2,2
2023,2002,7,2,1
2023,2011,7,2,2
2023,2016,7,3,1
2023,2020,7,2,2
2023,2021,7,7,1
2023,2017,4,4,2
2023,2018,4,1,2
2023,2011,4,6,3
2023,2014,4,3,2
2023,2002,4,2,2
2023,2011,4,5,2
2023,2017,4,3,2
2023,2021,1,2,1
2023,2017,1,1,1
2023,2016,1,2,1
2023,2014,1,2,1
2023,1979,1,0,1
2023,2007,1,2,1
2023,2014,1,7,1
2023,2002,1,2,1
2023,2016,1,3,1
2023,2009,1,2,1
2023,2020,1,2,1
2023,2022,6,4,1
2023,2016,6,2,1
2023,2011,6,2,1
2023,2017,6,2,1
2023,2006,2,5,1
2023,2016,2,1,4
2023,2016,2,2,6
2023,2010,2,2,2
2023,2015,2,6,3
2023,2013,2,4,1
2023,2014,2,7,10
2023,2008,2,5,1
2023,2006,2,0,1
2023,2018,2,6,3
2023,2019,2,3,1
2023,2019,2,2,7
2023,2022,2,7,2
2023,2016,2,4,2
2023,2015,4,6,2
2023,2017,2,4,2
2023,2020,4,0,1
2023,2020,4,4,4
2023,2020,4,2,2
2023,2019,4,0,2
2023,2022,4,2,2
2023,2018,2,1,1
2023,2007,2,2,4
2023,2010,2,3,2
2023,2020,2,2,5
2023,2020,2,0,1
2023,2019,2,7,2
2023,2020,2,6,1
2023,2020,4,7,1
2023,2016,4,3,1
2023,2022,4,5,1
2023,2022,4,3,1
2023,2008,2,2,1
2023,2015,6,6,1
2023,2014,6,3,1
2023,2016,6,3,1
2023,2018,6,2,1
2023,2020,6,6,1
2023,2021,6,7,1
2023,1995,3,0,1
2023,2018,2,2,2
2023,1999,2,2,2
2023,2018,3,1,2
2023,2016,4,1,1
2023,2005,4,2,1
2023,2013,4,0,1
2023,2018,4,6,1
2023,2019,4,3,1
2023,1999,4,2,1
2023,2019,4,5,1
2023,2022,4,7,1
2023,2016,4,4,1
2023,2022,4,4,1
2023,2016,7,1,1
2023,2016,7,2,2
2023,2005,7,2,1
2023,2013,7,2,1
2023,2020,7,0,1
2023,2022,7,7,1
2023,2020,7,7,1
2023,2021,7,3,1
2023,2021,7,1,1
2023,2024,7,1,1
2023,2016,7,4,1
2023,2022,7,4,3
2023,2023,7,4,1
2023,2015,7,6,1
2023,2023,7,5,1
2023,2005,2,0,1
2023,2022,6,5,1
2023,2022,3,5,1
2023,2017,5,4,1
2023,2016,5,1,1
2023,2018,5,1,1
2023,2021,5,2,1
2023,1979,5,0,1
2023,2007,5,2,1
2023,2013,5,2,1
2023,2011,5,2,1
2023,2019,5,3,1
2023,2020,5,0,1
2023,2009,5,2,1
2023,1999,5,2,1
2023,2019,5,5,1
2023,2019,5,2,1
2023,2016,5,4,1
2023,2014,2,4,1
2023,1992,2,3,1
2023,1984,2,0,1
2023,1990,2,2,1
2023,2019,2,5,1
2023,2021,2,5,1
2023,2018,2,7,1
2023,2017,2,3,1
2023,2019,2,1,1
2023,2023,2,2,1
2012,1980,2,2,1
2012,2016,2,2,1
2012,1998,2,3,1
2024,2017,3,4,2
2024,2014,3,7,6
2024,2019,3,2,4
2024,2009,3,2,1
2024,2019,3,5,2
2024,2014,3,2,2
2024,2018,3,7,1
2024,2017,3,3,1
2024,2019,3,1,1
2024,2022,3,7,1
2024,2014,2,2,3
2024,2005,2,2,3
2024,2013,2,2,4
2024,2019,1,4,1
2024,2022,1,7,3
2024,2023,1,7,1
2024,2016,7,1,1
2024,2013,7,2,1
2024,2014,7,7,4
2024,2018,7,0,1
2024,2018,7,2,1
2024,2019,7,3,3
2024,2020,7,2,2
2024,2009,7,2,3
2024,2022,7,7,4
2024,2020,7,7,1
2024,2016,7,4,2
2024,2015,5,6,1
2024,2002,5,2,1
2024,2014,5,7,2
2024,2019,5,1,1
2024,2013,5,2,2
2024,2005,1,5,1
2024,2011,1,6,1
2024,2012,1,2,2
2024,2002,1,2,2
2024,2023,1,2,1
2024,2016,7,2,2
2024,2014,7,2,3
2024,2002,7,2,2
2024,2012,7,2,2
2024,2018,7,7,2
2024,2017,7,2,4
2024,2017,7,3,2
2024,2019,7,1,2
2024,2021,7,1,2
2024,2023,7,5,2
2024,2023,6,7,1
2024,2022,1,2,1
2024,2008,1,2,1
2024,2005,1,0,1
2024,2019,1,0,1
2024,2013,3,2,3
2024,1999,3,2,1
2024,2016,0,0,1
2024,1979,4,0,2
2024,2019,4,3,3
2024,2019,4,5,4
2024,2022,4,7,2
2024,2023,4,7,1
2024,1979,3,0,1
2024,2006,3,5,1
2024,2015,3,0,1
2024,2016,3,0,1
2024,2017,3,2,1
2024,2021,3,1,1
2024,2022,3,6,1
2024,2018,4,1,1
2024,2020,4,4,1
2024,2020,4,6,1
2024,2011,4,6,2
2024,2009,4,2,3
2024,2022,4,2,1
2024,2010,6,2,1
2024,2008,6,3,1
2024,2020,6,4,1
2024,2021,6,7,1
2024,2005,1,2,2
2024,2014,1,3,1
2024,2013,1,2,2
2024,2014,1,2,2
2024,2011,1,2,1
2024,2020,1,3,2
2024,2020,1,5,1
2024,2024,1,2,1
2024,2021,1,2,2
2024,2018,7,6,2
2024,2024,7,7,1
2024,2015,2,2,2
2024,2014,2,3,1
2024,1979,2,0,2
2024,2002,2,2,2
2024,2014,2,7,4
2024,2007,2,2,1
2024,2012,2,2,1
2024,2011,2,2,1
2024,2018,2,7,1
2024,2016,2,2,2
2024,2018,2,6,1
2024,2018,2,2,2
2024,2022,2,7,2
2024,2021,2,3,1
2024,2006,7,5,1
2024,2019,7,2,2
2024,2019,7,0,1
2024,2021,7,7,1
2024,2023,7,2,1
2024,2023,7,4,1
2024,2023,7,7,1
2024,2018,1,0,1
2024,2019,1,3,2
2024,2010,5,2,1
2024,2019,5,2,1
2024,2019,5,3,1
2024,2020,5,6,1
2024,2019,5,5,1
2024,2024,5,3,1
2024,2017,2,4,1
2024,2012,2,1,1
2024,2021,2,1,2
2024,2022,2,2,1
2024,2006,4,2,1
2024,2014,4,2,3
2024,2017,4,2,1
2024,2015,4,6,1
2024,2017,4,3,2
2024,2019,4,2,1
2024,2022,4,5,1
2024,2023,4,2,1
2024,2007,4,2,2
2024,2010,4,2,1
2024,2002,4,2,2
2024,2018,4,6,1
2024,2018,4,2,1
2024,2018,4,0,1
2024,2020,4,2,1
2024,1995,2,0,1
2024,2006,2,2,1
2024,2010,2,2,1
2024,2017,1,2,1
2024,2018,2,1,1
2024,2017,2,2,1
2024,2020,2,2,2
2024,2019,2,3,1
2024,2024,2,2,1
2024,2019,2,2,1
2024,2023,2,4,1
2024,2023,2,7,1
2024,2014,7,3,1
2024,2011,7,2,1
2024,1999,7,2,1
2025,2006,7,2,1
2025,2014,7,7,3
2025,2018,7,7,2
2025,2022,7,2,1
2025,2024,7,3,1
2025,2010,7,6,1
2025,2013,7,2,1
2025,2014,7,1,1
2025,2017,3,4,1
2025,2022,3,4,2
2025,2020,3,4,1
2025,1979,3,0,1
2025,2014,3,7,1
2025,2018,3,6,2
2025,2019,3,3,1
2025,2024,3,1,1
2012,1979,3,0,1
2014,2018,3,1,1
2014,2016,3,3,1
2014,2006,6,1,1
2007,1995,0,0,1
