citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2015,2011,2,2,3
2015,2011,2,5,6
2015,2014,2,5,1
2003,2000,5,5,1
2014,1990,6,2,1
2014,2005,6,2,2
2014,2002,6,2,1
2014,2013,6,2,2
2000,2000,0,0,1
2007,1995,3,0,1
2007,2002,3,2,3
2007,2005,3,2,2
2007,1990,3,2,1
2007,1979,3,0,1
2007,2000,3,5,1
2007,2007,3,2,2
2007,2006,3,0,1
2007,2009,3,2,1
2015,2005,5,2,1
2015,2011,5,5,2
2015,2014,5,7,1
2015,2009,5,2,1
2016,1980,2,2,1
2016,2007,2,2,11
2016,2005,2,2,8
2016,2009,2,2,7
1998,1980,2,2,1
1998,1992,2,3,1
1998,1990,2,2,1
1998,1979,2,0,1
2003,2002,2,2,2
2010,2009,2,5,1
2010,2005,2,2,5
2010,2008,2,2,1
2010,2009,2,2,2
2006,1990,2,2,1
2006,1999,2,2,1
2011,2006,6,2,1
2011,2005,6,2,5
2011,2002,6,2,2
2011,1998,6,3,1
2011,2006,6,0,2
2011,2002,6,4,1
1998,1980,5,2,1
1998,1992,5,3,1
1998,1990,5,2,1
1998,1979,5,0,1
1998,1998,5,5,1
2011,1979,0,0,2
2014,1979,0,0,2
2012,2009,6,4,1
2012,2010,6,6,1
2012,1984,6,0,1
2012,2000,6,7,1
2012,2002,6,4,1
2012,2008,2,2,2
2012,2007,2,2,6
2012,2005,2,0,2
2013,2016,2,2,1
2013,2007,2,2,3
2013,2013,2,0,1
2013,2011,2,2,3
2013,2002,2,2,6
2013,2008,2,2,1
2013,2012,2,2,1
2012,1979,0,0,3
2006,2006,2,5,1
2013,1995,0,0,1
2013,2005,0,2,2
2013,1979,0,0,2
2015,2002,6,2,2
2015,2013,6,2,1
2015,2011,6,2,1
2015,2011,6,5,3
2013,2005,2,2,10
2013,2009,2,2,5
2015,2007,3,2,3
2015,2014,3,7,3
2015,2002,3,2,3
2015,2009,3,2,1
2015,2005,2,1,1
2010,1979,5,0,1
2010,2009,5,2,1
2015,2005,6,2,5
2015,2012,6,6,1
2011,2009,2,6,1
2011,2007,2,2,9
2011,2000,2,5,4
2014,2006,2,5,3
2014,2013,2,4,1
2014,2014,2,6,1
2014,2014,2,2,1
2016,1995,6,0,1
2016,2013,6,2,2
2012,2005,0,5,1
2015,1998,2,2,2
2015,2008,2,2,2
2015,2000,2,5,2
2015,1999,2,2,3
1992,1980,3,2,1
1992,1979,3,6,1
1992,1979,3,0,1
2014,1979,2,0,4
2014,2010,2,2,1
2014,2007,2,2,4
2014,2002,2,2,6
2014,2009,2,2,4
2014,2012,2,2,3
2014,2011,2,2,3
1982,1978,0,7,1
2015,1979,0,0,2
2015,2010,0,2,2
2015,2005,0,0,1
2006,2005,6,2,1
2006,1979,6,0,1
